NAME,BOARD,EMAIL,ADDRESS,CITY,PROVINCE,POSTAL_COD,PHONE_NO,FAX_NO,GRADES,POSTSECOND,DATA_SOURCE,ELEM,JUNIOR_H,SENIOR_H,long,lat
SAIT - MAIN CAMPUS - CAMPUS CENTRE,,,616 BOYCE CR NW,Calgary,AB,,(877) 284-7248,,,Y,Y,,,,-114.0903742,51.0632961
Palliser Beyond Borders at Calgary,The Palliser School Division,,2635 37 AV NE,Calgary,AB,T1Y5Z6,(403) 291-0584,,Unknown,N,N,N,N,N,-113.9990423,51.0861144
Marlborough School,The Calgary School Division,marlborough@cbe.ab.ca,4711 MARYVALE DR NE,Calgary,AB,T2A3A1,(403) 777-8190,,Elementary,N,N,Y,N,N,-113.9654996,51.0560836
Carousel Children's Centre,Montessori Education Preschool & ECS Institute of Alberta,admin@montcc.ca,100 CASTLEBROOK WY NE,Calgary,AB,T3J2A1,(403) 255-8664,,ECS,N,N,N,N,N,-113.9677088,51.1071969
Haysboro School,The Calgary School Division,haysboro@cbe.ab.ca,1123 87 AV SW,Calgary,AB,T2V0W2,(403) 777-8530,,Elementary,N,N,Y,N,N,-114.0891358,50.9754952
St. Sylvester School,The Calgary Roman Catholic Separate School Division,stsylvester@cssd.ab.ca,7318 SILVER SPRINGS BV NW,Calgary,AB,T3B4N1,(403) 500-2063,,Elementary,N,N,Y,N,N,-114.1943526,51.1092551
"Calgary Islamic School, Omar Bin Al-Khattab Campus",The Palliser School Division,,225 28 ST SE,Calgary,AB,T2A5K4,(584) 353-8900,,Elementary/Junior High,N,N,Y,Y,Y,-113.9938098,51.050745
St. James Elementary Junior High School,The Calgary Roman Catholic Separate School Division,stjames@cssd.ab.ca,2227 58 AV SW,Calgary,AB,T3E1N6,(403) 500-2035,,Elementary/Junior High,N,N,Y,Y,Y,-114.1136684,51.001142
Dr. Freda Miller School,The Calgary School Division,drfredamiller@cbe.ab.ca,211 EVERBROOK DR SW,Calgary,AB,T2Y0E8,(403) 817-3428,,Elementary,N,N,Y,N,N,-114.1160186,50.9208504
Manmeet Singh Bhullar School,The Calgary School Division,manmeetsinghbhullar@cbe.ab.ca,1027 MARTINDALE BV NE,Calgary,AB,T3J4Z1,(403) 817-3568,,Elementary,N,N,Y,N,N,-113.9594225,51.1233068
Westgate School,The Calgary School Division,westgate@cbe.ab.ca,150 WESTMINSTER DR SW,Calgary,AB,T3C2T3,(403) 777-8420,,Elementary,N,N,Y,N,N,-114.1591998,51.0444881
Master's Academy,The Palliser School Division,,4414 CROWCHILD TR SW,Calgary,AB,T2T5J4,(403) 242-7034,,Elementary,N,N,Y,N,N,-114.1165458,51.0153024
St. Anthony,The Calgary Roman Catholic Separate School Division,stanthony@cssd.ab.ca,4811 6 ST SW,Calgary,AB,T2S2N5,(403) 500-2013,,Elementary/Junior High/Senior High,N,N,Y,Y,Y,-114.0792951,51.0101077
West Ridge School,The Calgary School Division,westridge@cbe.ab.ca,8903 WENTWORTH AV SW,Calgary,AB,T3H5N9,(403) 817-3552,,Elementary/Junior High,N,N,Y,Y,Y,-114.2142424,51.0584892
Menno Simons Christian School,The Palliser School Division,office@mennosimons.ab.ca,7000 ELKTON DR SW,Calgary,AB,T3H4Y7,(403) 531-0745,,Elementary/Junior High,N,N,Y,Y,Y,-114.188501,51.0242003
